ID	SPECIES	PLOT	DAY	CONCAVG
3CDF1	DF	3	466	5.485
2TDF1	DF	2	466	3.009
1TDF2	DF	1	466	3.589
2TPP3	PP	2	466	5.855
1CDF2	DF	1	466	9.842
2TSP2	SP	2	466	5.879
2TSP3	SP	2	466	3.585
3TSP1	SP	3	466	11.051
1CPP3	PP	1	466	6.302
3TSP3	SP	3	466	11.813
2CSP1	SP	2	466	16.937
3CSP2	SP	3	466	19.111
3CSP3	SP	3	466	6.599
1TDF1	DF	1	466	12.755
1TPP2	PP	1	466	8.209
3CSP1	SP	3	466	13.504
3TSP2	SP	3	466	10.743
1CSP2	SP	1	466	11.879
3TDF2	DF	3	466	9.122
2CSP3	SP	2	466	14.864
2CSP2	SP	2	466	8.825
1CSP1	SP	1	466	10.003
1TSP1	SP	1	466	12.550
2TDF3	DF	2	498	8.941
2CDF2	DF	2	498	8.784
1CDF3	DF	1	498	8.650
2TDF2	DF	2	498	8.898
3CPP2	PP	3	498	9.007
3CPP1	PP	3	498	8.519
2CPP1	PP	2	498	8.816
2CDF1	DF	2	498	9.000
3TDF1	DF	3	498	8.781
2CPP2	PP	2	498	8.884
1CPP1	PP	1	498	8.483
3TPP1	PP	3	498	9.085
2TPP2	PP	2	498	8.963
1CPP2	PP	1	498	9.040
3CDF3	DF	3	498	8.503
3TDF3	DF	3	498	8.963
2CDF3	DF	2	498	8.510
1CDF1	DF	1	498	8.552
3TPP3	PP	3	498	8.791
2CPP3	PP	2	498	9.078
3TSP2	SP	3	498	8.677
1CDF2	DF	1	498	12.432
1TPP1	PP	1	498	8.044
2TPP1	PP	2	498	19.617
2TSP2	SP	2	498	24.955
2CSP2	SP	2	498	12.531
3CSP3	SP	3	498	13.876
3CPP3	PP	3	498	6.247
3CDF2	DF	3	498	11.955
2TPP3	PP	2	498	10.522
2TSP1	SP	2	498	10.081
3CDF1	DF	3	498	17.722
1TPP2	PP	1	498	11.356
1CPP3	PP	1	498	11.341
2TSP3	SP	2	498	19.384
2CSP1	SP	2	498	21.681
1TPP3	PP	1	498	14.575
2CSP2	SP	2	498	16.711
1CSP2	SP	1	498	15.430
3TSP3	SP	3	498	16.300
2TDF1	DF	2	498	10.816
1TSP1	SP	1	498	21.200
3TDF2	DF	3	498	15.565
1TDF3	DF	1	498	3.962
3CSP1	SP	3	498	13.328
1TDF2	DF	1	498	10.703
3TPP2	PP	3	498	10.964
1TDF1	DF	1	498	11.265
1TSP2	SP	1	498	18.174
2CSP3	SP	2	498	15.032
1CSP1	SP	1	498	12.697
3CSP2	SP	3	498	26.711
3TSP1	SP	3	498	7.114
2CPP3	PP	2	498	6.493
2TDF3	DF	2	498	1.365
2CDF2	DF	2	498	4.855
2TDF1	DF	2	584	-1.879
2CPP3	PP	2	584	-1.846
3CDF3	DF	3	584	0.961
3TSP2	SP	3	584	-2.060
3CPP3	PP	3	584	-3.161
3TSP1	SP	3	584	-2.153
2TPP2	PP	2	584	-2.041
1CPP3	PP	1	584	0.225
2CDF2	DF	2	584	-2.764
1CPP1	PP	1	584	-1.423
3TDF1	DF	3	584	0.903
2TDF2	DF	2	584	-2.641
1CDF3	DF	1	584	4.963
3CPP1	PP	3	584	-2.888
2TSP2	SP	2	584	-1.228
2TPP1	PP	2	584	-0.647
3TPP2	PP	3	584	-3.341
1CDF1	DF	1	584	-3.088
3CDF2	DF	3	584	3.199
2CPP1	PP	2	584	-2.849
3TSP3	SP	3	584	-3.712
1TSP2	SP	1	584	-4.256
2CSP3	SP	2	584	-3.620
1TPP2	PP	1	584	-3.503
2CSP2	SP	2	584	-3.211
2TDF3	DF	2	584	-4.432
1CPP2	PP	1	584	-3.301
1TDF1	DF	1	584	-2.809
2CSP1	SP	2	584	1.075
2TSP1	SP	2	584	-12.820
1TDF3	DF	1	584	-4.165
2CDF3	DF	2	584	-3.340
1TDF2	DF	1	584	-2.970
1CDF2	DF	1	584	-3.848
2CDF1	DF	2	584	-3.891
3TPP1	PP	3	584	-0.176
3CSP3	SP	3	584	-0.356
2TSP3	SP	2	584	-0.581
3CSP1	SP	3	584	-0.365
3CSP2	SP	3	584	-1.167
1TDF1	DF	1	584	0.362
3TDF2	DF	3	584	2.002
3TDF3	DF	3	584	-0.059
2CPP2	PP	2	584	-0.465
1CSP1	SP	1	584	0.000
1CSP2	SP	1	584	-0.546
3CPP2	PP	3	584	-0.585
1TPP3	PP	1	584	1.657
3CDF1	DF	3	584	1.970
1TSP1	SP	1	584	0.464
2TPP3	PP	2	584	0.423
