ID	SPECIES	PLOT	DAY	CONCAVG
3CDF3	DF	3	244	4.486277603
3TSP3	SP	3	244	20.03148428
3TSP2	SP	3	244	17.67485981
3TSP1	SP	3	244	33.79563724
3TDF3	DF	3	244	23.61509554
3TDF1	DF	3	244	20.295328
3CSP3	SP	3	244	26.40244298
3CSP2	SP	3	244	23.87160341
3CSP1	SP	3	244	22.17262016
3CPP3	PP	3	244	28.3408655
3CPP1	PP	3	244	11.69561506
1TPP1	PP	1	244	17.2134909
1TDF2	DF	1	244	18.36131843
2TDF3	DF	2	244	23.80480125
2TDF2	DF	2	244	21.46580903
3TPP3	PP	3	244	24.95311591
3TPP2	PP	3	244	30.16793388
3CDF1	DF	3	244	40.47451119
2CPP3	PP	2	244	49.13771739
2CPP2	PP	2	244	25.10655582
1CPP2	PP	1	244	17.25350195
1CDF3	DF	1	244	27.39243243
3CDF2	DF	3	244	10.71408243
3TDF2	DF	3	244	15.17453488
3TPP1	PP	3	244	21.43739837
2TDF1	DF	2	244	38.09562791
3CPP2	PP	3	244	25.82225922
1CDF1	DF	1	306	9.858631538
1CDF2	DF	1	306	9.506441477
1CDF3	DF	1	306	28.71887755
1TPP1	PP	1	306	17.5863959
1TPP2	PP	1	306	27.04244323
1TPP3	PP	1	306	16.18254717
1CPP1a	P1	1	306	21.5596875
1CPP1b	P1	1	306	22.66800637
1CPP3	PP	1	306	22.70721978
1TSP1	SP	1	306	42.14136986
1TDF1	DF	1	306	27.58572546
1TDF2	DF	1	306	22.75783742
1TDF3	DF	1	306	11.20972608
1CSP1	SP	1	306	40.67905966
2CDF1	DF	2	306	20.40494163
2CDF2	DF	2	306	22.72389764
2TDF1	DF	2	306	17.37244656
2TDF2	DF	2	306	12.88574219
2TDF3	DF	2	306	17.03001968
2TSP1	SP	2	306	28.65769745
2TSP2	SP	2	306	18.15269246
2TSP3	SP	2	306	23.43507304
2CPP1	PP	2	306	23.89510689
2CPP2	PP	2	306	26.36547924
2CPP3	PP	2	306	17.16637817
2TPP1	PP	2	306	21.38072345
2TPP2	PP	2	306	28.66171563
2TPP3	PP	2	306	29.90439952
2CSP1	SP	2	306	32.84854674
2CSP2a	P2	2	306	22.63081552
2CSP2b	P2	2	306	13.17595285
2CSP3	SP	2	306	14.52357853
3TDF1	DF	3	306	19.21842785
3TDF2	DF	3	306	23.81276258
3TDF3	DF	3	306	43.60178964
3TPP1	PP	3	306	16.76050722
3TPP2	PP	3	306	20.97049788
3TPP3	PP	3	306	24.4074595
3CSP1	SP	3	306	18.10492415
3CSP2	SP	3	306	18.91772082
3CSP3	SP	3	306	45.73494636
3TSP1	SP	3	306	27.76563446
3TSP2	SP	3	306	18.04070495
3TSP3	SP	3	306	28.05962353
3CDF1	DF	3	306	24.8525663
3CDF2	DF	3	306	49.46172656
3CDF3	DF	3	306	47.29944134
3CPP1	PP	3	306	18.96258498
3CPP2	PP	3	306	33.11259259
3CPP3	PP	3	306	33.5800396
1TSP2	SP	1	306	29.16785574
2CDF3	DF	2	306	42.57820331
2CDF2	DF	2	360	22.83659781
2TDF2	DF	2	360	18.9672613
1CDF1	DF	1	360	31.73578692
2TDF3	DF	2	360	28.93546245
2CDF1	DF	2	360	14.12108491
3TDF3	DF	3	360	28.42948598
2CPP1	PP	2	360	22.34497959
2CPP2	PP	2	360	29.62471456
3TPP3	PP	3	360	18.46048544
3TPP1	PP	3	360	25.38654281
3CPP1	PP	3	360	10.63426573
2CPP3	PP	2	360	76.68128725
3CPP2	PP	3	360	17.41521395
2TPP2	PP	2	360	24.90829537
1CPP1	PP	1	360	23.51338922
1CPP2	PP	1	360	17.88441954
1CDF3	DF	1	360	23.42000777
3CDF3	DF	3	360	31.29632156
2CDF3	DF	2	360	13.66034843
3TDF1	DF	3	360	29.24939693
3TSP2	SP	3	360	25.25102374
2TSP2	SP	2	360	18.42128275
2TPP3	PP	2	360	16.12684664
1TPP2	PP	1	360	14.25220039
1TPP1	PP	1	360	14.40282486
2CSP1	SP	2	360	36.47506524
3TDF3	DF	3	360	26.78477612
2TSP1	SP	2	360	16.72301488
2CSP3	SP	2	360	31.66214116
1CPP3	PP	1	360	16.73487814
1CDF2	DF	1	360	26.82251776
1TSP2	SP	1	360	22.94837849
3CSP2	SP	3	360	28.81469388
2CSP2	SP	2	360	16.29336617
1CSP2	SP	1	360	49.48969194
3TSP1	SP	3	360	32.56204501
1TPP3	PP	1	360	16.25825213
3CDF1	DF	3	360	22.42013204
2TSP3	SP	2	360	30.41986025
3TSP3	SP	3	360	43.28691299
3CDF2	DF	3	360	25.72102326
1TDF1	DF	1	360	26.81553488
3TPP2	PP	3	360	22.44299396
3CPP3	PP	3	360	22.64153429
2CSP1	SP	2	360	37.46197874
2TDF1	DF	2	360	26.40127898
3CSP3	SP	3	360	19.59906905
1TDF3	DF	1	360	24.05322896
2TPP1	PP	2	360	19.25914397
1TSP1	SP	1	360	35.26420546
1TDF2	DF	1	360	22.73530327
3TPP1	PP	3	420	17.06690967
2CDF3	DF	2	420	22.31532468
2CDF1	DF	2	420	13.32
2CDF2	DF	2	420	38.38889595
2TDF3	DF	2	420	20.90334757
1CDF1A	F1	1	420	22.36119968
1CDF3	DF	1	420	23.93551052
3TDF1	DF	3	420	27.06916468
3TDF3	DF	3	420	29.49204706
2TDF2	DF	2	420	20.42761711
2TPP2	PP	2	420	15.78342857
3TPP3	PP	3	420	22.67653985
2CPP1	PP	2	420	21.4466426
2CPP2	PP	2	420	17.35636364
1CPP2	PP	1	420	20.2895275
1CPP1	PP	1	420	21.78494894
2CPP3	PP	2	420	21.66085714
3CDF3	DF	3	420	28.5383622
1CDF1B	F1	1	420	22.83873684
3CPP1	PP	3	420	11.21656534
3CPP2	PP	3	420	25.59235955
3TPP2	PP	3	420	14.74741281
1TSP2	SP	1	420	19.96777561
2TSP2	SP	2	420	10.03259019
3TDF2	DF	3	420	23.34277912
1CSP2	SP	1	420	21.62853125
1CDF2	DF	1	420	11.52596918
1TPP2	PP	1	420	14.25489764
1TDF1	DF	1	420	22.93691932
2TSP3	SP	2	420	8.936836203
2CSP1	SP	2	420	25.15636077
2TSP1	SP	2	420	20.48483155
2TPP3	PP	2	420	16.22595931
2CSP3	SP	2	420	12.71929374
3TSP1	SP	3	420	21.02112534
1TPP3	PP	1	420	16.73154262
3TSP3	SP	3	420	22.97436735
1CPP3	PP	1	420	33.98939158
3TSP2	SP	3	420	22.55481881
1TPP1	PP	1	420	20.96711676
2TDF1	DF	2	420	26.51428571
3CSP1	SP	3	420	18.21165127
3CSP2	SP	3	420	35.7080315
3CDF1	DF	3	420	40.00299252
3CDF2	DF	3	420	24.54738498
3CPP3	PP	3	420	25.9530086
2TPP1	PP	2	420	11.23211798
1TSP1	SP	1	420	21.22913481
1TDF3	DF	1	420	22.82594595
1TDF2	DF	1	420	58.60629733
2CSP1	SP	2	420	40.1533823
3CSP3	SP	3	420	8.133762058
2TDF1	DF	2	420	30.13437378
3TPP3	PP	3	466	15.85009091
3TPP1	PP	3	466	44.62399316
2CPP2	PP	2	466	33.30546829
1CPP1	PP	1	466	22.13777049
3CPP2	PP	3	466	20.43505882
2CPP3	PP	2	466	38.73793565
1CPP2	PP	1	466	19.77051972
3CPP1	PP	3	466	18.95172932
2CPP1	PP	2	466	38.59363265
2TPP2	PP	2	466	27.32485194
3TDF3	DF	3	466	46.89351077
1CDF1	DF	1	466	25.53479148
3TDF1	DF	3	466	37.40485437
3CDF3	DF	3	466	44.89279532
2TDF2	DF	2	466	29.60443992
2TDF3	DF	2	466	33.33920329
2CDF2	DF	2	466	25.44341481
1CDF3	DF	1	466	27.77259231
2CDF1	DF	2	466	35.7465478
2CDF3	DF	2	466	48.65903226
3TPP2	PP	3	466	17.83859806
1TSP2	SP	1	466	26.44758382
1TPP1	PP	1	466	19.61696232
2TSP1	SP	2	466	22.37784711
1TDF3	DF	1	466	22.36564162
1TPP3	PP	1	466	19.92622871
3CPP3	PP	3	466	27.13708515
3CDF2	DF	3	466	32.14801421
2TPP1	PP	2	466	24.59596035
3CDF1	DF	3	466	25.04388978
2TDF1	DF	2	466	20.65686088
1TDF2	DF	1	466	29.07242647
2TPP3	PP	2	466	14.42727055
1CDF2	DF	1	466	20.23332028
2TSP2	SP	2	466	25.89227552
2TSP3	SP	2	466	13.07095316
3TSP1	SP	3	466	10.79288538
1CPP3	PP	1	466	12.25622776
3TSP3	SP	3	466	21.63713405
2CSP1	SP	2	466	18.83783784
3CSP2	SP	3	466	12.60311284
3CSP3	SP	3	466	6.28198859
1TDF1	DF	1	466	26.73568111
1TPP2	PP	1	466	16.11005165
3CSP1	SP	3	466	23.88563171
3TSP2	SP	3	466	17.34428176
1CSP2	SP	1	466	21.93770627
3TDF2	DF	3	466	13.71582734
2CSP3	SP	2	466	45.58753097
2CSP2	SP	2	466	8.860510806
1CSP1	SP	1	466	14.61102484
1TSP1	SP	1	466	27.12683897
3TSP2	SP	3	498	39.24534279
1CDF2	DF	1	498	22.55631128
1TPP1	PP	1	498	18.41288219
2TPP1	PP	2	498	23.58406859
2TSP2	SP	2	498	28.24183399
2CSP2	SP	2	498	38.40452188
3CSP3	SP	3	498	22.14898007
3CPP3	PP	3	498	20.9631277
3CDF2	DF	3	498	23.49416998
2TPP3	PP	2	498	20.94090522
2TSP1	SP	2	498	28.45832168
3CDF1	DF	3	498	23.77995316
1TPP2	PP	1	498	24.12803226
1CPP3	PP	1	498	19.13182787
2CSP1	SP	2	498	37.59330438
1TPP3	PP	1	498	19.37173541
2CSP2	SP	2	498	28.1011291
1CSP2	SP	1	498	27.14699652
3TSP3	SP	3	498	42.58061538
2TDF1	DF	2	498	26.59343423
1TSP1	SP	1	498	34.05546988
3TDF2	DF	3	498	25.57616781
1TDF3	DF	1	498	18.89613432
3CSP1	SP	3	498	21.77327146
1TDF2	DF	1	498	30.31531964
3TPP2	PP	3	498	17.04159613
1TDF1	DF	1	498	31.2104165
1TSP2	SP	1	498	24.81846517
2CSP3	SP	2	498	19.08041618
1CSP1	SP	1	498	19.8656185
3CSP2	SP	3	498	41.15826576
3TSP1	SP	3	498	27.11854369
2CPP3	PP	2	498	31.82431677
2TDF3	DF	2	498	53.72522898
2CDF2	DF	2	498	41.3684924
2TDF3	DF	2	498	26.15595615
2CDF2	DF	2	498	27.36306342
1CDF3	DF	1	498	43.52375491
2TDF2	DF	2	498	24.21793939
3CPP2	PP	3	498	23.02890798
3CPP1	PP	3	498	20.25776402
2CPP1	PP	2	498	25.93902322
2CDF1	DF	2	498	25.34162648
3TDF1	DF	3	498	29.93842105
2CPP2	PP	2	498	37.53545785
1CPP1	PP	1	498	30.36254237
3TPP1	PP	3	498	40.39054455
2TPP2	PP	2	498	52.49494505
1CPP2	PP	1	498	14.44275862
3CDF3	DF	3	498	43.62352124
3TDF3	DF	3	498	46.1784127
2CDF3	DF	2	498	34.39302937
1CDF1	DF	1	498	35.92506408
3TPP3	PP	3	498	19.21010778
2CPP3	PP	2	498	21.80943116
2TDF1	DF	2	584	25.20802862
2CPP3	PP	2	584	14.54916436
3CDF3	DF	3	584	25.21486246
3TSP2	SP	3	584	26.30389063
3CPP3	PP	3	584	21.58720949
3TSP1	SP	3	584	33.29923384
2TPP2	PP	2	584	15.49708219
1CPP3	PP	1	584	17.67143199
2CDF2	DF	2	584	25.06356663
1CPP1	PP	1	584	26.66350097
3TDF1	DF	3	584	18.5350757
2TDF2	DF	2	584	26.60629909
1CDF3	DF	1	584	21.96534176
3CPP1	PP	3	584	19.88915175
2TSP2	SP	2	584	29.04468626
2TPP1	PP	2	584	13.31299002
3TPP2	PP	3	584	16.63128165
1CDF1	DF	1	584	33.12554517
3CDF2	DF	3	584	20.41849359
2CPP1	PP	2	584	19.69999214
3TSP3	SP	3	584	26.24729459
1TSP2	SP	1	584	26.43614118
2CSP3	SP	2	584	19.3780856
1TPP2	PP	1	584	17.77248636
2CSP2	SP	2	584	16.39665981
2TDF3	DF	2	584	29.55658307
1CPP2	PP	1	584	11.23280374
1TDF1	DF	1	584	30.86088608
2CSP1	SP	2	584	26.5099061
2TSP1	SP	2	584	22.47268482
1TDF3	DF	1	584	17.87458155
2CDF3	DF	2	584	23.0914
1TDF2	DF	1	584	21.79298304
1CDF2	DF	1	584	32.62837354
2CDF1	DF	2	584	17.43558653
3TPP1	PP	3	584	13.67193822
3CSP3	SP	3	584	12.21518533
2TSP3	SP	2	584	19.81674419
3CSP1	SP	3	584	17.46056382
3CSP2	SP	3	584	20.46927935
1TDF1	DF	1	584	17.58655363
3TDF2	DF	3	584	22.81737292
3TDF3	DF	3	584	26.11567251
2CPP2	PP	2	584	22.37620432
1CSP1	SP	1	584	22.69476054
1CSP2	SP	1	584	22.10682081
3CPP2	PP	3	584	21.84190738
1TPP3	PP	1	584	20.01200469
3CDF1	DF	3	584	22.96080569
1TSP1	SP	1	584	35.66560229
2TPP3	PP	2	584	18.17956989
1CDF1	DF	1	584	36.12109515
3TPP3	PP	3	584	18.87942515
2CPP3	PP	2	584	21.52726298
